Label,Ticker,Headline
0,MMM,Employer who stole nearly $3M in wages from 157 workers fined $500
1,MMM,Huge new Facebook data leak exposed intimate details of 3m users
0,MMM,A campaign has accelerated to turn a disused railway line in Yorkshire into England’s longest cycle tunnel – instead of using £3m of public money to close it for ever. Campaigners say they could enhance West Yorkshire’s health and economy by converting an old railway line.
1,MMM,Google launches global human trafficking helpline &amp; data network - Commits $3M (£2M) to build an international helpline network fueled by data. Human trafficking enslaves 21M people with 2.5M forced into labor. Most are ages 18-24 &amp; 43% are forced into the sex trade.
1,MMM,Over 3m Saudi Women Don’t Have ID Cards; Saudi Grand Mufti says portraying the face is forbidden for women and thus they cannot have ID cards with photos
1,MMM,Boris Johnson promises tax cut for 3m higher earners | Politics
0,MMM,Canada spends $3M to stop female genital mutilation in African nation of Benin
1,MMM,U.S. Accuses China Of Detaining Up To 3m Xinjiang Muslims In 'Concentration Camps'
0,MMM,More than $3M raised for Humboldt Broncos after deadly bus crash
0,MMM,Australian property giant Meriton has been ordered to pay $3m for manipulating TripAdvisor reviews about its serviced apartments in breach of consumer law.
0,MMM,Chinese man killed by zoo tiger ‘scaled two 3m walls to avoid paying entrance fee’
0,MMM,Italy's La Scala opera house returns $3m Saudi funding. Milan theater decides to refund payment and cancel Saudi partnership after criticism by rights groups and politicians
0,MMM,Church of England may sell £3m stake in mining firm over fears for gorilla haven. Move follows film backed by Leonardo DiCaprio and pleas by environmentalists to protect Congo’s Virunga park.
0,MMM,East Australia one of 11 areas to account for 80% of world forest loss by 2030 | Between 3m and 6m hectares of forest mainly across New South Wales and Queensland could be lost between 2010 and 2030
0,MMM,US-wanted Shabab leader with a $3m bounty on his head surrenders
1,MMM,Stop Brexit petition tops 3m signatures
0,MMM,Tumblr sold today for less than $3M compared to original purchase at $1.1B posing a &gt;99.7% loss for Verizon.
0,MMM,ISIS war chest grows by an estimated $3M every day
0,MMM,Nigerian astronaut lost in space needs $3m to get home
1,MMM,The town that 3M built - where kids are dying of cancer: Australian government aggressively defending growing number of class actions from towns. Dept of Health maintains there is “no consistent evidence” the chemicals can cause “important” health effects.
0,MMM,3M has long known it was contaminating the US food supply
1,MMM,3M H&amp;M C&amp;A investigate allegations that Chinese prison labor is used for manufacturing their products
0,MMM,E.ON UK to supply 3.3m customers with 100% renewable electricity - More than 3m homes are to automatically receive renewable energy from E.ON UK at no extra cost in one of the UK’s biggest green energy switches to date.
0,MMM,3M is suing a company accused of trying to re-sell fake N95 masks at a 600% markup
1,MMM,UN expresses alarm about proposed dumping in Great Barrier Reef: Australian Govt approves the dumping of 3m cubic metres of dredged material into the Great Barrier Reef world heritage site
1,MMM,3M H&amp;M and C&amp;A probe claim Chinese prisoners made packaging
1,MMM,Iskandar Malaysia: the green mega-city rising above Singapore - Planned eco-city for 3m people matches Luxembourg in size and showcases urban 21st-century smart-living say developers
1,MMM,Despite having over 1000 domestic manufacturers it is estimated that 90% of smog/dust masks sold in China are made by US-based company 3M. Quality control is a possible factor and a recent test showed 60% of masks available were faulty.
1,MMM,A fifth day of protests in France against proposed pension reforms has brought 825000 people on to the streets police say although unions put the figure at 2.5m to 3m
0,MMM,Stephen Sutton who raised £3m for cancer awareness dies at 19
0,MMM,3M+ 'Remain' Petition Uses 'Script' To 'Fake' Signatures: 25000 From North Korea 2800 From Uninhabitable Antarctic
0,MMM,Vaquita porpoise facing extinction after £3m rescue plan abandoned
0,MMM,3M refused Trump’s demand to divert 10 million N95 masks produced in Singapore to the US. The masks are produced in Singapore and exported to countries in Asia.
0,MMM,Toronto family tries to raise $3M to treat son's rare genetic disorder | CBC News
0,MMM,ISIL earning $3m daily or $90000000 monthly though discounted oil taxes and sex trade (including children)
0,MMM,US to strafe crucial nesting area for 3m birds with poison to eradicate mice - Midway Atoll to be bombarded with rodenticide after scientists &amp; volunteers discovered seabirds with open wounds
0,MMM,Traffickers 'made $3m' on Italy ship
